,prdtypecode,target
8407,1920,9
8408,1560,7
8409,2403,10
8410,1281,8
8411,1281,8
8412,2280,1
8413,2582,6
8414,1560,7
8415,1280,3
8416,1280,3
8417,1920,9
8418,2582,6
8419,1160,16
8420,1920,9
8421,1300,14
8422,2060,17
8423,2280,1
8424,2905,23
8425,50,2
8426,2060,17
8427,1920,9
8428,2060,17
8429,2462,15
8430,1320,20
8431,2220,22
8432,1940,25
8433,2280,1
8434,2583,12
8435,1560,7
8436,2705,4
8437,2060,17
8438,2585,24
8439,2585,24
8440,2583,12
8441,2582,6
8442,1300,14
8443,1302,21
8444,2582,6
8445,2583,12
8446,1140,11
8447,2403,10
8448,2583,12
8449,2583,12
8450,10,0
8451,2403,10
8452,1920,9
8453,1300,14
8454,2583,12
8455,2585,24
8456,1281,8
8457,1140,11
8458,2583,12
8459,1560,7
8460,1920,9
8461,2403,10
8462,1920,9
8463,1140,11
8464,1302,21
8465,10,0
8466,2280,1
8467,2582,6
8468,1920,9
8469,1160,16
8470,2060,17
8471,1160,16
8472,2060,17
8473,1560,7
8474,2585,24
8475,2905,23
8476,1160,16
8477,1920,9
8478,2060,17
8479,1300,14
8480,1300,14
8481,1280,3
8482,2585,24
8483,1300,14
8484,1302,21
8485,1280,3
8486,2522,5
8487,1300,14
8488,2403,10
8489,1300,14
8490,1920,9
8491,1160,16
8492,2583,12
8493,1300,14
8494,2583,12
8495,2705,4
8496,1920,9
8497,1280,3
8498,1920,9
8499,2583,12
8500,2280,1
8501,60,19
8502,2585,24
8503,2583,12
8504,40,18
8505,60,19
8506,1320,20
8507,2705,4
8508,2583,12
8509,2220,22
8510,1302,21
8511,1320,20
8512,2583,12
8513,1180,13
8514,1160,16
8515,2280,1
8516,2522,5
8517,2583,12
8518,2585,24
8519,1300,14
8520,1940,25
8521,2280,1
8522,10,0
8523,2280,1
8524,2582,6
8525,2705,4
8526,2060,17
8527,50,2
8528,2705,4
8529,1920,9
8530,2403,10
8531,1560,7
8532,50,2
8533,2060,17
8534,2583,12
8535,10,0
8536,50,2
8537,2583,12
8538,2583,12
8539,2905,23
8540,1320,20
8541,2060,17
8542,1160,16
8543,2280,1
8544,2522,5
8545,1301,26
8546,2585,24
8547,1920,9
8548,1160,16
8549,50,2
8550,1560,7
8551,1280,3
8552,1560,7
8553,40,18
8554,2060,17
8555,2403,10
8556,60,19
8557,1140,11
8558,1280,3
8559,2280,1
8560,1300,14
8561,2585,24
8562,1320,20
8563,2585,24
8564,10,0
8565,60,19
8566,2583,12
8567,2280,1
8568,1280,3
8569,2583,12
8570,2583,12
8571,1300,14
8572,1300,14
8573,1160,16
8574,1560,7
8575,50,2
8576,2705,4
8577,1140,11
8578,10,0
8579,1160,16
8580,2403,10
8581,2583,12
8582,2522,5
8583,2583,12
8584,10,0
8585,1320,20
8586,1160,16
8587,40,18
8588,1160,16
8589,40,18
8590,1281,8
8591,1320,20
8592,1280,3
8593,1160,16
8594,60,19
8595,2583,12
8596,1280,3
8597,2583,12
8598,1320,20
8599,1560,7
8600,1300,14
8601,2280,1
8602,1320,20
8603,2522,5
8604,1160,16
8605,50,2
8606,2585,24
8607,2060,17
8608,2583,12
8609,2582,6
8610,2583,12
8611,1140,11
8612,1300,14
8613,1281,8
8614,2280,1
8615,50,2
8616,1300,14
8617,2583,12
8618,2583,12
8619,1300,14
8620,2585,24
8621,50,2
8622,1140,11
8623,1160,16
8624,2060,17
8625,1920,9
8626,2522,5
8627,2583,12
8628,40,18
8629,50,2
8630,1302,21
8631,2060,17
8632,2280,1
8633,1560,7
8634,1920,9
8635,2583,12
8636,1300,14
8637,2060,17
8638,2060,17
8639,1140,11
8640,1560,7
8641,1280,3
8642,2403,10
8643,10,0
8644,1281,8
8645,1300,14
8646,1920,9
8647,50,2
8648,2583,12
8649,1920,9
8650,1920,9
8651,1320,20
8652,2583,12
8653,1160,16
8654,2522,5
8655,2583,12
8656,1280,3
8657,2060,17
8658,1280,3
8659,60,19
8660,2705,4
8661,2060,17
8662,1320,20
8663,2060,17
8664,2060,17
8665,1300,14
8666,1301,26
8667,2280,1
8668,1302,21
8669,1140,11
8670,40,18
8671,1300,14
8672,10,0
8673,1281,8
8674,2583,12
8675,2583,12
8676,1280,3
8677,2522,5
8678,1160,16
8679,1140,11
8680,1320,20
8681,2280,1
8682,40,18
8683,1920,9
8684,2705,4
8685,2220,22
8686,1160,16
8687,10,0
8688,1140,11
8689,2583,12
8690,2403,10
8691,1920,9
8692,2522,5
8693,1920,9
8694,2522,5
8695,2522,5
8696,1560,7
8697,40,18
8698,2060,17
8699,2403,10
8700,1300,14
8701,2522,5
8702,2583,12
8703,50,2
8704,2403,10
8705,2060,17
8706,1320,20
8707,2583,12
8708,2403,10
8709,2522,5
8710,2583,12
8711,1300,14
8712,50,2
8713,40,18
8714,2905,23
8715,2583,12
8716,2403,10
8717,2583,12
8718,2522,5
8719,2060,17
8720,50,2
8721,1302,21
8722,1320,20
8723,2060,17
8724,1560,7
8725,1160,16
8726,2585,24
8727,10,0
8728,2403,10
8729,1920,9
8730,2060,17
8731,1280,3
8732,1280,3
8733,2583,12
8734,2582,6
8735,2280,1
8736,1920,9
8737,2583,12
8738,1280,3
8739,10,0
8740,2583,12
8741,1320,20
8742,1160,16
8743,1180,13
8744,1301,26
8745,2583,12
8746,1160,16
8747,2582,6
8748,40,18
8749,2060,17
8750,2403,10
8751,1300,14
8752,1920,9
8753,2585,24
8754,2403,10
8755,1300,14
8756,1280,3
8757,1281,8
8758,10,0
8759,2280,1
8760,2583,12
8761,50,2
8762,1300,14
8763,1560,7
8764,1301,26
8765,1160,16
8766,1302,21
8767,1560,7
8768,1560,7
8769,2280,1
8770,40,18
8771,1320,20
8772,2522,5
8773,1920,9
8774,1160,16
8775,1300,14
8776,1920,9
8777,1300,14
8778,10,0
8779,2582,6
8780,2522,5
8781,1302,21
8782,2220,22
8783,2403,10
8784,2583,12
8785,2060,17
8786,2583,12
8787,1560,7
8788,1920,9
8789,2403,10
8790,1920,9
8791,2582,6
8792,10,0
8793,1560,7
8794,1302,21
8795,1560,7
8796,2280,1
8797,2582,6
8798,1160,16
8799,1280,3
8800,1560,7
8801,1920,9
8802,1302,21
8803,2060,17
8804,1300,14
8805,60,19
8806,2280,1
8807,2583,12
8808,2280,1
8809,60,19
8810,1560,7
8811,1302,21
8812,1280,3
8813,1300,14
8814,1560,7
8815,40,18
8816,1302,21
8817,1180,13
8818,2522,5
8819,2060,17
8820,2280,1
8821,40,18
8822,10,0
8823,40,18
8824,1940,25
8825,1302,21
8826,1280,3
8827,1160,16
8828,2280,1
8829,2280,1
8830,1920,9
8831,1180,13
8832,1560,7
8833,2583,12
8834,50,2
8835,2403,10
8836,1560,7
8837,2522,5
8838,1560,7
8839,2583,12
8840,1160,16
8841,1300,14
8842,1160,16
8843,2582,6
8844,2060,17
8845,50,2
8846,2705,4
8847,2585,24
8848,2403,10
8849,2583,12
8850,2403,10
8851,1300,14
8852,1320,20
8853,1920,9
8854,2403,10
8855,10,0
8856,2280,1
8857,50,2
8858,2585,24
8859,1180,13
8860,2582,6
8861,2583,12
8862,1300,14
8863,2403,10
8864,2060,17
8865,1160,16
8866,2585,24
8867,2583,12
8868,40,18
8869,2060,17
8870,1920,9
8871,50,2
8872,2583,12
8873,2705,4
8874,2583,12
8875,50,2
8876,50,2
8877,50,2
8878,2060,17
8879,1280,3
8880,2060,17
8881,2403,10
8882,50,2
8883,2705,4
8884,2280,1
8885,40,18
8886,1160,16
8887,1140,11
8888,1560,7
8889,1920,9
8890,2280,1
8891,2060,17
8892,1140,11
8893,1320,20
8894,2280,1
8895,2280,1
8896,2583,12
8897,1560,7
8898,2583,12
8899,2583,12
8900,2522,5
8901,1281,8
8902,1320,20
8903,2060,17
8904,50,2
8905,1281,8
8906,10,0
8907,1560,7
8908,40,18
8909,10,0
8910,2280,1
8911,2060,17
8912,1180,13
8913,60,19
8914,2280,1
8915,2583,12
8916,1300,14
8917,60,19
8918,2583,12
8919,2583,12
8920,2583,12
8921,2462,15
8922,10,0
8923,40,18
8924,2522,5
8925,40,18
8926,2585,24
8927,10,0
8928,1160,16
8929,2583,12
8930,1560,7
8931,40,18
8932,2403,10
8933,2905,23
8934,2583,12
8935,1160,16
8936,40,18
8937,2060,17
8938,2583,12
8939,1280,3
8940,1320,20
8941,2705,4
8942,2583,12
8943,60,19
8944,1560,7
8945,2280,1
8946,50,2
8947,1920,9
8948,1280,3
8949,1320,20
8950,2462,15
8951,2403,10
8952,1140,11
8953,2705,4
8954,1300,14
8955,2583,12
8956,10,0
8957,2522,5
8958,1300,14
8959,1280,3
8960,1320,20
8961,2522,5
8962,2583,12
8963,1920,9
8964,1281,8
8965,1300,14
8966,2522,5
8967,1160,16
8968,2583,12
8969,2403,10
8970,1320,20
8971,1560,7
8972,2522,5
8973,2522,5
8974,2280,1
8975,2280,1
8976,2403,10
8977,2583,12
8978,2705,4
8979,2060,17
8980,2583,12
8981,2060,17
8982,2585,24
8983,2462,15
8984,2280,1
8985,2060,17
8986,1560,7
8987,2060,17
8988,1160,16
8989,40,18
8990,1280,3
8991,1140,11
8992,1560,7
8993,2403,10
8994,1560,7
8995,1300,14
8996,1140,11
8997,1920,9
8998,2705,4
8999,2060,17
9000,1560,7
9001,2403,10
9002,1300,14
9003,1300,14
9004,2522,5
9005,1560,7
9006,50,2
9007,1300,14
9008,1920,9
9009,2582,6
9010,50,2
9011,1280,3
9012,60,19
9013,2280,1
9014,1160,16
9015,1320,20
9016,1920,9
9017,2705,4
9018,1560,7
9019,2705,4
9020,1302,21
9021,2583,12
9022,1302,21
9023,1560,7
9024,1160,16
9025,10,0
9026,1300,14
9027,1300,14
9028,2220,22
9029,2220,22
9030,2585,24
9031,2462,15
9032,40,18
9033,1140,11
9034,2060,17
9035,10,0
9036,1280,3
9037,2280,1
9038,2583,12
9039,50,2
9040,2280,1
9041,1140,11
9042,2280,1
9043,1140,11
9044,1560,7
9045,2280,1
9046,2522,5
9047,2060,17
9048,2280,1
9049,2583,12
9050,1320,20
9051,2403,10
9052,1140,11
9053,1140,11
9054,2060,17
9055,2583,12
9056,1300,14
9057,1280,3
9058,50,2
9059,2583,12
9060,1300,14
9061,2060,17
9062,2403,10
9063,2280,1
9064,1160,16
9065,2585,24
9066,2060,17
9067,1160,16
9068,10,0
9069,1300,14
9070,1320,20
9071,1160,16
9072,1320,20
9073,1160,16
9074,40,18
9075,2522,5
9076,50,2
9077,2705,4
9078,2583,12
9079,1920,9
9080,2582,6
9081,1300,14
9082,1560,7
9083,1300,14
9084,1160,16
9085,1301,26
9086,1281,8
9087,1920,9
9088,2060,17
9089,1140,11
9090,2583,12
9091,2705,4
9092,40,18
9093,1920,9
9094,2220,22
9095,2582,6
9096,40,18
9097,2403,10
9098,2280,1
9099,1160,16
9100,2060,17
9101,1560,7
9102,1320,20
9103,2583,12
9104,2583,12
9105,1301,26
9106,2060,17
9107,2522,5
9108,2280,1
9109,1160,16
9110,2522,5
9111,1320,20
9112,1920,9
9113,1160,16
9114,1560,7
9115,1560,7
9116,2705,4
9117,40,18
9118,1281,8
9119,1160,16
9120,1302,21
9121,1280,3
9122,2522,5
9123,2522,5
9124,2060,17
9125,1560,7
9126,2280,1
9127,1160,16
9128,2462,15
9129,1160,16
9130,2280,1
9131,1302,21
9132,40,18
9133,2060,17
9134,1920,9
9135,1320,20
9136,1920,9
9137,2583,12
9138,10,0
9139,1280,3
9140,1160,16
9141,1140,11
9142,2583,12
9143,1300,14
9144,1160,16
9145,1302,21
9146,2583,12
9147,2280,1
9148,1920,9
9149,2583,12
9150,1300,14
9151,1320,20
9152,60,19
9153,40,18
9154,1920,9
9155,2060,17
9156,2583,12
9157,1280,3
9158,2060,17
9159,2462,15
9160,40,18
9161,1560,7
9162,1920,9
9163,2583,12
9164,1300,14
9165,1280,3
9166,1281,8
9167,1560,7
9168,2220,22
9169,1560,7
9170,2403,10
9171,2522,5
9172,2582,6
9173,2583,12
9174,10,0
9175,1940,25
9176,2403,10
9177,1920,9
9178,2060,17
9179,1300,14
9180,1301,26
9181,2905,23
9182,1140,11
9183,1160,16
9184,1560,7
9185,2583,12
9186,1140,11
9187,1560,7
9188,2583,12
9189,1140,11
9190,1560,7
9191,2403,10
9192,1300,14
9193,2060,17
9194,2280,1
9195,2280,1
9196,2403,10
9197,1140,11
9198,2585,24
9199,2060,17
9200,1300,14
9201,2583,12
9202,1920,9
9203,1300,14
9204,2583,12
9205,2280,1
9206,2522,5
9207,2705,4
9208,40,18
9209,50,2
9210,2583,12
9211,2522,5
9212,10,0
9213,2060,17
9214,2905,23
9215,2582,6
9216,1160,16
9217,1560,7
9218,2522,5
9219,1300,14
9220,2905,23
9221,2705,4
9222,1281,8
9223,10,0
9224,1920,9
9225,2583,12
9226,2403,10
9227,2522,5
9228,2583,12
9229,1940,25
9230,1920,9
9231,2522,5
9232,1560,7
9233,1920,9
9234,2403,10
9235,1300,14
9236,2522,5
9237,2585,24
9238,2585,24
9239,10,0
9240,1560,7
9241,2585,24
9242,2705,4
9243,1320,20
9244,1160,16
9245,2522,5
9246,2583,12
9247,2060,17
9248,2585,24
9249,2705,4
9250,2403,10
9251,2060,17
9252,2705,4
9253,1320,20
9254,1160,16
9255,1280,3
9256,1302,21
9257,1320,20
9258,2583,12
9259,2403,10
9260,2705,4
9261,1300,14
9262,2522,5
9263,2403,10
9264,2403,10
9265,1320,20
9266,1301,26
9267,2583,12
9268,1302,21
9269,1940,25
9270,1560,7
9271,60,19
9272,2583,12
9273,2220,22
9274,2585,24
9275,2522,5
9276,2060,17
9277,2462,15
9278,2583,12
9279,2060,17
9280,2462,15
9281,1300,14
9282,2280,1
9283,2220,22
9284,1320,20
9285,2522,5
9286,2583,12
9287,1320,20
9288,10,0
9289,2060,17
9290,2705,4
9291,1280,3
9292,1180,13
9293,2403,10
9294,2583,12
9295,1280,3
9296,1302,21
9297,2583,12
9298,2462,15
9299,2705,4
9300,2582,6
9301,40,18
9302,2522,5
9303,2522,5
9304,1920,9
9305,2583,12
9306,40,18
9307,2585,24
9308,2585,24
9309,1302,21
9310,2583,12
9311,1180,13
9312,1160,16
9313,1140,11
9314,2280,1
9315,10,0
9316,40,18
9317,2583,12
9318,1160,16
9319,2060,17
9320,1302,21
9321,1160,16
9322,2583,12
9323,2583,12
9324,1920,9
9325,10,0
9326,1140,11
9327,1560,7
9328,2705,4
9329,2280,1
9330,2060,17
9331,2905,23
9332,1920,9
9333,2522,5
9334,50,2
9335,1300,14
9336,1560,7
9337,2462,15
9338,1300,14
9339,2583,12
9340,1920,9
9341,1300,14
9342,1560,7
9343,1280,3
9344,2583,12
9345,2060,17
9346,1320,20
9347,1560,7
9348,2583,12
9349,1920,9
9350,2583,12
9351,1280,3
9352,1560,7
9353,2060,17
9354,2585,24
9355,40,18
9356,1302,21
9357,2585,24
9358,1280,3
9359,2705,4
9360,2583,12
9361,2585,24
9362,2280,1
9363,2585,24
9364,2522,5
9365,1140,11
9366,2060,17
9367,10,0
9368,1280,3
9369,2582,6
9370,1920,9
9371,2522,5
9372,10,0
9373,40,18
9374,1320,20
9375,1160,16
9376,1280,3
9377,2583,12
9378,2522,5
9379,2583,12
9380,1160,16
9381,50,2
9382,1160,16
9383,1560,7
9384,1281,8
9385,1560,7
9386,2522,5
9387,2403,10
9388,1300,14
9389,2583,12
9390,2522,5
9391,2280,1
9392,1320,20
9393,1140,11
9394,1160,16
9395,2583,12
9396,1560,7
9397,2403,10
9398,1140,11
9399,2582,6
9400,1920,9
9401,1300,14
9402,1302,21
9403,2403,10
9404,1560,7
9405,2583,12
9406,1160,16
9407,2280,1
9408,1281,8
9409,40,18
9410,2403,10
9411,2583,12
9412,2583,12
9413,1560,7
9414,1560,7
9415,1320,20
9416,2582,6
9417,2585,24
9418,2522,5
9419,2280,1
9420,2060,17
9421,2583,12
9422,2403,10
9423,2522,5
9424,2705,4
9425,1301,26
9426,1920,9
9427,10,0
9428,1320,20
9429,2060,17
9430,60,19
9431,2585,24
9432,2403,10
9433,10,0
9434,1920,9
9435,1560,7
9436,2403,10
9437,1920,9
9438,1280,3
9439,2583,12
9440,2060,17
9441,10,0
9442,2583,12
9443,2522,5
9444,1281,8
9445,40,18
9446,2583,12
9447,1140,11
9448,2583,12
9449,1560,7
9450,2403,10
9451,1300,14
9452,2583,12
9453,40,18
9454,2522,5
9455,2060,17
9456,2060,17
9457,2583,12
9458,40,18
9459,2403,10
9460,2522,5
9461,1300,14
9462,1280,3
9463,2585,24
9464,1920,9
9465,1140,11
9466,2462,15
9467,2403,10
9468,1160,16
9469,1302,21
9470,2060,17
9471,2583,12
9472,1920,9
9473,1920,9
9474,2705,4
9475,40,18
9476,1300,14
9477,2403,10
9478,1281,8
9479,2280,1
9480,60,19
9481,2220,22
9482,1160,16
9483,1300,14
9484,2583,12
9485,2705,4
9486,1920,9
9487,2585,24
9488,1300,14
9489,1320,20
9490,2583,12
9491,2583,12
9492,2280,1
9493,2060,17
9494,10,0
9495,1281,8
9496,1280,3
9497,1560,7
9498,2280,1
9499,2582,6
9500,2060,17
9501,10,0
9502,1280,3
9503,2585,24
9504,1560,7
9505,1160,16
9506,1920,9
9507,2403,10
9508,1280,3
9509,2462,15
9510,2583,12
9511,2060,17
9512,1320,20
9513,1140,11
9514,2280,1
9515,1302,21
9516,2705,4
9517,2462,15
9518,10,0
9519,2220,22
9520,2583,12
9521,2583,12
9522,1302,21
9523,2280,1
9524,2060,17
9525,2583,12
9526,2060,17
9527,50,2
9528,1160,16
9529,2583,12
9530,2403,10
9531,1560,7
9532,2905,23
9533,1281,8
9534,2583,12
9535,1302,21
9536,2462,15
9537,2403,10
9538,1302,21
9539,2585,24
9540,1281,8
9541,1160,16
9542,1281,8
9543,1160,16
9544,2582,6
9545,1300,14
9546,1920,9
9547,1560,7
9548,2522,5
9549,2582,6
9550,1920,9
9551,10,0
9552,2582,6
9553,1160,16
9554,1140,11
9555,2582,6
9556,2403,10
9557,2583,12
9558,2403,10
9559,1320,20
9560,2522,5
9561,2583,12
9562,10,0
9563,1280,3
9564,1160,16
9565,2583,12
9566,2060,17
9567,2585,24
9568,2522,5
9569,1920,9
9570,2060,17
9571,40,18
9572,1320,20
9573,50,2
9574,2060,17
9575,2280,1
9576,1300,14
9577,1920,9
9578,1560,7
9579,1140,11
9580,40,18
9581,2583,12
9582,2522,5
9583,2583,12
9584,2582,6
9585,1300,14
9586,1280,3
9587,1160,16
9588,1301,26
9589,2403,10
9590,2280,1
9591,2060,17
9592,1160,16
9593,2583,12
9594,1920,9
9595,2585,24
9596,1920,9
9597,50,2
9598,2280,1
9599,2280,1
9600,2522,5
9601,1280,3
9602,2280,1
9603,1920,9
9604,2462,15
9605,2583,12
9606,2583,12
9607,2403,10
9608,2060,17
9609,2403,10
9610,1560,7
9611,2462,15
9612,40,18
9613,1160,16
9614,2462,15
9615,2280,1
9616,2705,4
9617,1560,7
9618,2705,4
9619,1280,3
9620,1280,3
9621,2220,22
9622,2583,12
9623,1920,9
9624,60,19
9625,1920,9
9626,2705,4
9627,1920,9
9628,1281,8
9629,40,18
9630,1320,20
9631,1300,14
9632,2403,10
9633,1920,9
9634,2583,12
9635,1320,20
9636,1300,14
9637,2583,12
9638,1280,3
9639,60,19
9640,1281,8
9641,1281,8
9642,1560,7
9643,60,19
9644,2403,10
9645,2280,1
9646,1920,9
9647,2585,24
9648,2583,12
9649,2583,12
9650,1320,20
9651,2522,5
9652,2522,5
9653,1140,11
9654,2403,10
9655,2582,6
9656,2582,6
9657,2582,6
9658,10,0
9659,2522,5
9660,1320,20
9661,50,2
9662,2280,1
9663,1160,16
9664,2403,10
9665,1300,14
9666,1300,14
9667,2585,24
9668,40,18
9669,2522,5
9670,2060,17
9671,1300,14
9672,1920,9
9673,1280,3
9674,1300,14
9675,2220,22
9676,1320,20
9677,1160,16
9678,2583,12
9679,2220,22
9680,1300,14
9681,2522,5
9682,2583,12
9683,2060,17
9684,1320,20
9685,2583,12
9686,40,18
9687,2585,24
9688,1281,8
9689,1560,7
9690,1940,25
9691,2582,6
9692,2522,5
9693,2522,5
9694,2583,12
9695,2585,24
9696,10,0
9697,2403,10
9698,1301,26
9699,1281,8
9700,1302,21
9701,1160,16
9702,1300,14
9703,1300,14
9704,2583,12
9705,1920,9
9706,2462,15
9707,1160,16
9708,1280,3
9709,2060,17
9710,1140,11
9711,1300,14
9712,10,0
9713,2583,12
9714,2060,17
9715,1320,20
9716,2280,1
9717,2462,15
9718,2582,6
9719,1281,8
9720,2585,24
9721,2583,12
9722,2583,12
9723,1280,3
9724,1300,14
9725,2060,17
9726,10,0
9727,2060,17
9728,2583,12
9729,2705,4
9730,1160,16
9731,1160,16
9732,1560,7
9733,2582,6
9734,2583,12
9735,1300,14
9736,1920,9
9737,2060,17
9738,10,0
9739,1302,21
9740,1140,11
9741,2280,1
9742,1920,9
9743,2583,12
9744,1140,11
9745,1160,16
9746,2522,5
9747,1140,11
9748,2280,1
9749,2060,17
9750,2060,17
9751,50,2
9752,2585,24
9753,1280,3
9754,1280,3
9755,1280,3
9756,2462,15
9757,1301,26
9758,1920,9
9759,1300,14
9760,1560,7
9761,1300,14
9762,60,19
9763,1320,20
9764,1280,3
9765,2280,1
9766,2583,12
9767,2522,5
9768,1301,26
9769,2522,5
9770,2280,1
9771,2583,12
9772,1302,21
9773,1280,3
9774,1302,21
9775,1560,7
9776,1920,9
9777,2060,17
9778,2582,6
9779,1302,21
9780,1920,9
9781,1300,14
9782,2583,12
9783,1281,8
9784,2522,5
9785,1920,9
9786,1560,7
9787,2583,12
9788,10,0
9789,1280,3
9790,1302,21
9791,2705,4
9792,2585,24
9793,2403,10
9794,2585,24
9795,50,2
9796,1300,14
9797,1560,7
9798,1280,3
9799,1560,7
9800,2583,12
9801,2522,5
9802,2583,12
9803,1302,21
9804,1160,16
9805,60,19
9806,2583,12
9807,2705,4
9808,1280,3
9809,1300,14
9810,1140,11
9811,1300,14
9812,2280,1
9813,1302,21
9814,2060,17
9815,40,18
9816,2583,12
9817,1920,9
9818,2583,12
9819,2522,5
9820,2905,23
9821,40,18
9822,2582,6
9823,1920,9
9824,1920,9
9825,1320,20
9826,1320,20
9827,1140,11
9828,2522,5
9829,2582,6
9830,1280,3
9831,2582,6
9832,1920,9
9833,1281,8
9834,2060,17
9835,1160,16
9836,2060,17
9837,2280,1
9838,1920,9
9839,2060,17
9840,1160,16
9841,1920,9
9842,2522,5
9843,1280,3
9844,1320,20
9845,2583,12
9846,2462,15
9847,1160,16
9848,1280,3
9849,1560,7
9850,1320,20
9851,10,0
9852,2585,24
9853,1140,11
9854,2060,17
9855,50,2
9856,1300,14
9857,2403,10
9858,1320,20
9859,1140,11
9860,2582,6
9861,1560,7
9862,1302,21
9863,2583,12
9864,2522,5
9865,2280,1
9866,2060,17
9867,1280,3
9868,2705,4
9869,1320,20
9870,2582,6
9871,2403,10
9872,1140,11
9873,10,0
9874,1320,20
9875,1920,9
9876,2403,10
9877,2583,12
9878,2280,1
9879,2403,10
9880,1920,9
9881,1560,7
9882,2583,12
9883,2583,12
9884,2582,6
9885,1300,14
9886,1920,9
9887,1320,20
9888,40,18
9889,2585,24
9890,2583,12
9891,1140,11
9892,1180,13
9893,2060,17
9894,2280,1
9895,10,0
9896,1180,13
9897,2583,12
9898,1302,21
9899,2585,24
9900,1300,14
9901,2280,1
9902,1300,14
9903,2280,1
9904,1560,7
9905,2522,5
9906,2705,4
9907,2705,4
9908,2403,10
9909,1280,3
9910,1160,16
9911,1940,25
9912,1140,11
9913,1180,13
9914,2583,12
9915,2583,12
9916,1300,14
9917,2403,10
9918,1302,21
9919,2280,1
9920,1180,13
9921,2583,12
9922,2522,5
9923,1920,9
9924,2585,24
9925,1920,9
9926,2403,10
9927,2060,17
9928,1160,16
9929,2060,17
9930,1300,14
9931,2583,12
9932,2403,10
9933,1300,14
9934,2583,12
9935,2583,12
9936,1560,7
9937,2585,24
9938,1300,14
9939,2585,24
9940,1320,20
9941,2583,12
9942,40,18
9943,2280,1
9944,2583,12
9945,1920,9
9946,1160,16
9947,1940,25
9948,1280,3
9949,1560,7
9950,10,0
9951,2522,5
9952,2522,5
9953,1140,11
9954,2705,4
9955,2583,12
9956,2403,10
9957,2583,12
9958,2403,10
9959,2583,12
9960,60,19
9961,2583,12
9962,1920,9
9963,2403,10
9964,2705,4
9965,2403,10
9966,2585,24
9967,1320,20
9968,1560,7
9969,1160,16
9970,2583,12
9971,1560,7
9972,2583,12
9973,1300,14
9974,2522,5
9975,1280,3
9976,1920,9
9977,1560,7
9978,2280,1
9979,2280,1
9980,2403,10
9981,2462,15
9982,2522,5
9983,2582,6
9984,2522,5
9985,1280,3
9986,1560,7
9987,2522,5
9988,2583,12
9989,1320,20
9990,1300,14
9991,1160,16
9992,1920,9
9993,2403,10
9994,2403,10
9995,1560,7
9996,50,2
9997,2522,5
9998,2060,17
9999,1160,16
10000,2522,5
10001,2583,12
10002,2583,12
10003,1320,20
10004,2403,10
10005,1300,14
10006,1160,16
10007,1300,14
10008,1300,14
10009,2585,24
10010,1160,16
10011,1281,8
10012,2522,5
10013,2220,22
10014,2403,10
10015,1280,3
10016,1560,7
10017,2462,15
10018,1560,7
10019,2403,10
10020,2060,17
10021,2582,6
10022,1560,7
10023,1280,3
10024,2060,17
10025,1140,11
10026,2582,6
10027,2060,17
10028,2522,5
10029,40,18
10030,50,2
10031,2585,24
10032,2522,5
10033,2583,12
10034,2403,10
10035,2522,5
10036,1300,14
10037,40,18
10038,2280,1
10039,1940,25
10040,2462,15
10041,50,2
10042,60,19
10043,1560,7
10044,2522,5
10045,2583,12
10046,2403,10
10047,1160,16
10048,2585,24
10049,1160,16
10050,1302,21
10051,2462,15
10052,50,2
10053,1180,13
10054,2583,12
10055,2060,17
10056,2462,15
10057,2522,5
10058,2522,5
10059,2522,5
10060,1160,16
10061,2280,1
10062,2583,12
10063,2522,5
10064,2280,1
10065,2583,12
10066,2585,24
10067,1300,14
10068,2280,1
10069,2583,12
10070,2403,10
10071,2583,12
10072,1560,7
10073,1160,16
10074,2280,1
10075,1920,9
10076,2583,12
10077,2585,24
10078,1302,21
10079,2705,4
10080,2280,1
10081,2585,24
10082,1560,7
10083,40,18
10084,1560,7
10085,2705,4
10086,1302,21
10087,2705,4
10088,1560,7
10089,2403,10
10090,2462,15
10091,1560,7
10092,1160,16
10093,1300,14
10094,2905,23
10095,2585,24
10096,10,0
10097,40,18
10098,1920,9
10099,1280,3
10100,2585,24
10101,2403,10
10102,1300,14
10103,2583,12
10104,1302,21
10105,1280,3
10106,2403,10
10107,1281,8
10108,2585,24
10109,1320,20
10110,1560,7
10111,2060,17
10112,1302,21
10113,2060,17
10114,1320,20
10115,1281,8
10116,2280,1
10117,2280,1
10118,2060,17
10119,1300,14
10120,2280,1
10121,2403,10
10122,2583,12
10123,1180,13
10124,10,0
10125,1320,20
10126,1300,14
10127,1300,14
10128,1300,14
10129,2220,22
10130,1280,3
10131,1280,3
10132,1300,14
10133,1300,14
10134,2705,4
10135,2280,1
10136,10,0
10137,1280,3
10138,1140,11
10139,2060,17
10140,1281,8
10141,2403,10
10142,1280,3
10143,2583,12
10144,1300,14
10145,2060,17
10146,2583,12
10147,1560,7
10148,1280,3
10149,1280,3
10150,10,0
10151,2582,6
10152,2403,10
10153,1140,11
10154,1280,3
10155,2060,17
10156,1560,7
10157,2462,15
10158,2705,4
10159,1281,8
10160,1560,7
10161,2220,22
10162,2462,15
10163,2582,6
10164,2583,12
10165,2060,17
10166,1920,9
10167,1281,8
10168,2280,1
10169,2583,12
10170,1280,3
10171,1560,7
10172,1300,14
10173,1302,21
10174,1302,21
10175,2705,4
10176,1280,3
10177,2583,12
